image_id,file_name,split,damage_count,total_damage_area,dominant_damage,has_dent,has_scratch,has_crack,has_glass_shatter,has_lamp_broken,has_tire_flat
162,000162.jpg,train2017,2,227749.0,lamp broken,0,0,1,0,1,0
163,000163.jpg,train2017,1,104311.0,dent,1,0,0,0,0,0
164,000164.jpg,train2017,2,151187.0,lamp broken,1,0,0,0,1,0
168,000168.jpg,train2017,1,394650.0,glass shatter,0,0,0,1,0,0
169,000169.jpg,train2017,1,547064.0,glass shatter,0,0,0,1,0,0
170,000170.jpg,train2017,1,780000.0,glass shatter,0,0,0,1,0,0
171,000171.jpg,train2017,1,278430.0,glass shatter,0,0,0,1,0,0
172,000172.jpg,train2017,1,502779.0,glass shatter,0,0,0,1,0,0
173,000173.jpg,train2017,1,624000.0,glass shatter,0,0,0,1,0,0
174,000174.jpg,train2017,1,229983.0,glass shatter,0,0,0,1,0,0
178,000178.jpg,train2017,1,549347.0,glass shatter,0,0,0,1,0,0
179,000179.jpg,train2017,1,401798.0,glass shatter,0,0,0,1,0,0
180,000180.jpg,train2017,1,574923.0,glass shatter,0,0,0,1,0,0
181,000181.jpg,train2017,1,666000.0,glass shatter,0,0,0,1,0,0
182,000182.jpg,train2017,1,667000.0,glass shatter,0,0,0,1,0,0
183,000183.jpg,train2017,1,440572.0,glass shatter,0,0,0,1,0,0
184,000184.jpg,train2017,1,142545.0,glass shatter,0,0,0,1,0,0
188,000188.jpg,train2017,3,154113.0,lamp broken,0,0,1,1,1,0
189,000189.jpg,train2017,1,368158.0,lamp broken,0,0,0,0,1,0
190,000190.jpg,train2017,1,160630.0,lamp broken,0,0,0,0,1,0
194,000194.jpg,train2017,4,177270.0,lamp broken,1,1,0,0,1,0
195,000195.jpg,train2017,3,38524.0,lamp broken,1,1,0,0,1,0
196,000196.jpg,train2017,1,359406.0,glass shatter,0,0,0,1,0,0
197,000197.jpg,train2017,1,258703.0,glass shatter,0,0,0,1,0,0
198,000198.jpg,train2017,1,514391.0,glass shatter,0,0,0,1,0,0
199,000199.jpg,train2017,1,227098.0,lamp broken,0,0,0,0,1,0
200,000200.jpg,train2017,1,350108.0,glass shatter,0,0,0,1,0,0
201,000201.jpg,train2017,1,335365.0,glass shatter,0,0,0,1,0,0
202,000202.jpg,train2017,1,649743.0,glass shatter,0,0,0,1,0,0
203,000203.jpg,train2017,1,409526.0,glass shatter,0,0,0,1,0,0
207,000207.jpg,train2017,1,478720.0,glass shatter,0,0,0,1,0,0
208,000208.jpg,train2017,1,440797.0,glass shatter,0,0,0,1,0,0
209,000209.jpg,train2017,1,216516.0,glass shatter,0,0,0,1,0,0
210,000210.jpg,train2017,2,425067.0,glass shatter,1,0,0,1,0,0
211,000211.jpg,train2017,1,224667.0,glass shatter,0,0,0,1,0,0
212,000212.jpg,train2017,1,435150.0,glass shatter,0,0,0,1,0,0
213,000213.jpg,train2017,2,303189.0,glass shatter,1,0,0,1,0,0
217,000217.jpg,train2017,1,470847.0,glass shatter,0,0,0,1,0,0
218,000218.jpg,train2017,1,349708.0,glass shatter,0,0,0,1,0,0
219,000219.jpg,train2017,1,353935.0,glass shatter,0,0,0,1,0,0
220,000220.jpg,train2017,1,295399.0,glass shatter,0,0,0,1,0,0
221,000221.jpg,train2017,1,490510.0,glass shatter,0,0,0,1,0,0
222,000222.jpg,train2017,1,419873.0,glass shatter,0,0,0,1,0,0
223,000223.jpg,train2017,1,538985.0,glass shatter,0,0,0,1,0,0
227,000227.jpg,train2017,1,173658.0,glass shatter,0,0,0,1,0,0
228,000228.jpg,train2017,1,376271.0,glass shatter,0,0,0,1,0,0
229,000229.jpg,train2017,1,464479.0,glass shatter,0,0,0,1,0,0
230,000230.jpg,train2017,1,275743.0,glass shatter,0,0,0,1,0,0
231,000231.jpg,train2017,1,309239.0,glass shatter,0,0,0,1,0,0
232,000232.jpg,train2017,1,227610.0,glass shatter,0,0,0,1,0,0
234,000234.jpg,train2017,5,27192.0,dent,1,1,0,0,0,0
236,000236.jpg,train2017,3,139605.0,dent,1,1,0,0,1,0
238,000238.jpg,train2017,5,113879.0,lamp broken,1,1,0,0,1,0
240,000240.jpg,train2017,1,15641.0,scratch,0,1,0,0,0,0
245,000245.jpg,train2017,1,109375.0,glass shatter,0,0,0,1,0,0
246,000246.jpg,train2017,1,344504.0,glass shatter,0,0,0,1,0,0
247,000247.jpg,train2017,1,49484.0,dent,1,0,0,0,0,0
248,000248.jpg,train2017,1,144893.0,glass shatter,0,0,0,1,0,0
249,000249.jpg,train2017,1,542252.0,glass shatter,0,0,0,1,0,0
250,000250.jpg,train2017,1,486660.0,glass shatter,0,0,0,1,0,0
251,000251.jpg,train2017,1,319051.0,glass shatter,0,0,0,1,0,0
252,000252.jpg,train2017,1,207021.0,glass shatter,0,0,0,1,0,0
256,000256.jpg,train2017,1,423383.0,glass shatter,0,0,0,1,0,0
257,000257.jpg,train2017,2,137713.0,glass shatter,1,0,0,1,0,0
258,000258.jpg,train2017,1,415817.0,glass shatter,0,0,0,1,0,0
261,000261.jpg,train2017,1,636305.0,glass shatter,0,0,0,1,0,0
262,000262.jpg,train2017,1,588344.0,glass shatter,0,0,0,1,0,0
263,000263.jpg,train2017,1,450238.0,glass shatter,0,0,0,1,0,0
264,000264.jpg,train2017,7,397069.0,glass shatter,1,0,0,1,0,0
265,000265.jpg,train2017,6,364320.0,glass shatter,1,0,0,1,0,0
266,000266.jpg,train2017,1,88573.0,glass shatter,0,0,0,1,0,0
269,000269.jpg,train2017,3,254990.0,glass shatter,1,0,0,1,0,0
273,000273.jpg,train2017,1,425005.0,lamp broken,0,0,0,0,1,0
274,000274.jpg,train2017,1,211086.0,lamp broken,0,0,0,0,1,0
275,000275.jpg,train2017,2,132977.0,lamp broken,0,1,0,0,1,0
276,000276.jpg,train2017,3,33889.0,lamp broken,0,1,1,0,1,0
277,000277.jpg,train2017,1,33729.0,lamp broken,0,0,0,0,1,0
279,000279.jpg,train2017,1,238430.0,glass shatter,0,0,0,1,0,0
280,000280.jpg,train2017,1,56163.0,glass shatter,0,0,0,1,0,0
281,000281.jpg,train2017,2,245426.0,lamp broken,0,1,0,0,1,0
282,000282.jpg,train2017,1,172673.0,glass shatter,0,0,0,1,0,0
283,000283.jpg,train2017,1,308172.0,glass shatter,0,0,0,1,0,0
284,000284.jpg,train2017,3,170065.0,lamp broken,1,0,1,0,1,0
285,000285.jpg,train2017,1,118858.0,glass shatter,0,0,0,1,0,0
286,000286.jpg,train2017,1,422052.0,glass shatter,0,0,0,1,0,0
287,000287.jpg,train2017,1,187580.0,glass shatter,0,0,0,1,0,0
291,000291.jpg,train2017,5,64217.0,glass shatter,1,0,0,1,1,0
292,000292.jpg,train2017,4,90298.0,glass shatter,1,0,0,1,1,0
295,000295.jpg,train2017,8,313678.0,dent,1,1,0,0,1,0
296,000296.jpg,train2017,1,450582.0,lamp broken,0,0,0,0,1,0
298,000298.jpg,train2017,4,355403.0,lamp broken,1,0,0,0,1,0
302,000302.jpg,train2017,3,212208.0,lamp broken,1,0,0,0,1,0
303,000303.jpg,train2017,3,273585.0,tire flat,0,1,1,0,0,1
304,000304.jpg,train2017,1,324114.0,tire flat,0,0,0,0,0,1
305,000305.jpg,train2017,1,186879.0,glass shatter,0,0,0,1,0,0
306,000306.jpg,train2017,1,367167.0,glass shatter,0,0,0,1,0,0
307,000307.jpg,train2017,1,264206.0,glass shatter,0,0,0,1,0,0
308,000308.jpg,train2017,1,386760.0,glass shatter,0,0,0,1,0,0
309,000309.jpg,train2017,1,430819.0,glass shatter,0,0,0,1,0,0
313,000313.jpg,train2017,3,309411.0,glass shatter,1,0,0,1,0,0
314,000314.jpg,train2017,1,330559.0,glass shatter,0,0,0,1,0,0
315,000315.jpg,train2017,1,462392.0,glass shatter,0,0,0,1,0,0
316,000316.jpg,train2017,1,537977.0,glass shatter,0,0,0,1,0,0
317,000317.jpg,train2017,1,181437.0,glass shatter,0,0,0,1,0,0
318,000318.jpg,train2017,1,226681.0,glass shatter,0,0,0,1,0,0
319,000319.jpg,train2017,1,305594.0,glass shatter,0,0,0,1,0,0
323,000323.jpg,train2017,3,267777.0,glass shatter,1,0,0,1,0,0
324,000324.jpg,train2017,2,50201.0,glass shatter,1,0,0,1,0,0
325,000325.jpg,train2017,1,574034.0,glass shatter,0,0,0,1,0,0
326,000326.jpg,train2017,1,177661.0,glass shatter,0,0,0,1,0,0
327,000327.jpg,train2017,1,504621.0,glass shatter,0,0,0,1,0,0
328,000328.jpg,train2017,1,364946.0,glass shatter,0,0,0,1,0,0
329,000329.jpg,train2017,1,367422.0,glass shatter,0,0,0,1,0,0
333,000333.jpg,train2017,1,476305.0,glass shatter,0,0,0,1,0,0
334,000334.jpg,train2017,1,457342.0,glass shatter,0,0,0,1,0,0
335,000335.jpg,train2017,1,569862.0,glass shatter,0,0,0,1,0,0
336,000336.jpg,train2017,1,576005.0,glass shatter,0,0,0,1,0,0
337,000337.jpg,train2017,1,393607.0,glass shatter,0,0,0,1,0,0
338,000338.jpg,train2017,1,395707.0,glass shatter,0,0,0,1,0,0
339,000339.jpg,train2017,1,348630.0,glass shatter,0,0,0,1,0,0
344,000344.jpg,train2017,1,180812.0,glass shatter,0,0,0,1,0,0
345,000345.jpg,train2017,5,91633.0,lamp broken,1,0,1,0,1,0
346,000346.jpg,train2017,1,187616.0,tire flat,0,0,0,0,0,1
349,000349.jpg,train2017,1,67929.0,crack,0,0,1,0,0,0
351,000351.jpg,train2017,2,193573.0,dent,1,1,0,0,0,0
357,000357.jpg,train2017,7,182675.0,dent,1,1,0,0,0,0
358,000358.jpg,train2017,3,99425.0,scratch,0,1,1,0,0,0
359,000359.jpg,train2017,1,20050.0,crack,0,0,1,0,0,0
360,000360.jpg,train2017,2,58979.0,scratch,0,1,0,0,0,0
361,000361.jpg,train2017,5,76138.0,dent,1,1,0,0,0,0
362,000362.jpg,train2017,5,49003.0,dent,1,1,0,0,0,0
363,000363.jpg,train2017,1,22065.0,dent,1,0,0,0,0,0
364,000364.jpg,train2017,5,121176.0,dent,1,1,0,0,0,0
365,000365.jpg,train2017,3,241652.0,dent,1,0,0,0,0,0
366,000366.jpg,train2017,4,36636.0,scratch,1,1,0,0,0,0
367,000367.jpg,train2017,2,56861.0,scratch,0,1,0,0,0,0
368,000368.jpg,train2017,1,25515.0,scratch,0,1,0,0,0,0
369,000369.jpg,train2017,2,17081.0,scratch,0,1,0,0,0,0
370,000370.jpg,train2017,1,73133.0,glass shatter,0,0,0,1,0,0
371,000371.jpg,train2017,3,141765.0,dent,1,0,0,0,1,0
372,000372.jpg,train2017,2,313601.0,scratch,1,1,0,0,0,0
373,000373.jpg,train2017,1,45007.0,dent,1,0,0,0,0,0
374,000374.jpg,train2017,4,174784.0,lamp broken,1,1,1,0,1,0
375,000375.jpg,train2017,1,101795.0,glass shatter,0,0,0,1,0,0
377,000377.jpg,train2017,1,19099.0,crack,0,0,1,0,0,0
379,000379.jpg,train2017,3,31847.0,scratch,0,1,0,0,0,0
380,000380.jpg,train2017,2,65534.0,scratch,1,1,0,0,0,0
382,000382.jpg,train2017,5,149385.0,scratch,1,1,0,0,1,0
383,000383.jpg,train2017,4,123847.0,lamp broken,0,1,1,0,1,0
384,000384.jpg,train2017,2,284832.0,lamp broken,0,0,1,0,1,0
386,000386.jpg,train2017,8,60583.0,lamp broken,1,1,1,0,1,0
388,000388.jpg,train2017,4,91510.0,dent,1,0,1,0,0,0
389,000389.jpg,train2017,4,394417.0,dent,1,1,0,0,0,0
390,000390.jpg,train2017,4,431587.0,glass shatter,1,0,0,1,0,0
391,000391.jpg,train2017,2,7360.0,crack,0,0,1,0,0,0
392,000392.jpg,train2017,3,64712.0,dent,1,0,0,0,0,0
393,000393.jpg,train2017,4,32901.0,glass shatter,1,0,1,1,0,0
394,000394.jpg,train2017,1,181367.0,scratch,0,1,0,0,0,0
395,000395.jpg,train2017,4,254343.0,glass shatter,1,0,0,1,1,0
396,000396.jpg,train2017,3,70494.0,scratch,0,1,1,0,0,0
397,000397.jpg,train2017,1,484125.0,lamp broken,0,0,0,0,1,0
398,000398.jpg,train2017,1,440135.0,glass shatter,0,0,0,1,0,0
399,000399.jpg,train2017,4,352033.0,glass shatter,1,1,0,1,0,0
401,000401.jpg,train2017,3,97790.0,lamp broken,1,1,0,0,1,0
402,000402.jpg,train2017,3,63104.0,dent,1,0,0,0,1,0
403,000403.jpg,train2017,5,191862.0,lamp broken,1,0,1,0,1,0
406,000406.jpg,train2017,6,151722.0,dent,1,1,0,0,1,0
408,000408.jpg,train2017,3,252049.0,lamp broken,1,1,0,0,1,0
409,000409.jpg,train2017,1,54406.0,scratch,0,1,0,0,0,0
410,000410.jpg,train2017,1,123291.0,dent,1,0,0,0,0,0
411,000411.jpg,train2017,7,229419.0,dent,1,1,1,0,1,1
412,000412.jpg,train2017,3,257168.0,dent,1,1,0,0,1,0
413,000413.jpg,train2017,2,113345.0,dent,1,0,0,0,0,0
414,000414.jpg,train2017,1,43335.0,scratch,0,1,0,0,0,0
416,000416.jpg,train2017,3,119253.0,dent,1,1,0,0,1,0
419,000419.jpg,train2017,2,145991.0,lamp broken,0,1,0,0,1,0
420,000420.jpg,train2017,3,182178.0,lamp broken,0,1,0,0,1,0
421,000421.jpg,train2017,1,566741.0,glass shatter,0,0,0,1,0,0
425,000425.jpg,train2017,1,184704.0,lamp broken,0,0,0,0,1,0
428,000428.jpg,train2017,2,150801.0,lamp broken,1,0,0,0,1,0
429,000429.jpg,train2017,4,158636.0,lamp broken,1,1,0,0,1,0
430,000430.jpg,train2017,5,66678.0,lamp broken,0,1,1,0,1,0
431,000431.jpg,train2017,2,193549.0,dent,1,0,0,0,0,0
432,000432.jpg,train2017,4,104583.0,glass shatter,1,0,0,1,0,0
434,000434.jpg,train2017,1,612329.0,glass shatter,0,0,0,1,0,0
435,000435.jpg,train2017,1,200539.0,glass shatter,0,0,0,1,0,0
436,000436.jpg,train2017,2,210074.0,lamp broken,0,0,1,0,1,0
437,000437.jpg,train2017,2,131345.0,dent,1,0,0,0,0,0
438,000438.jpg,train2017,4,196141.0,scratch,1,1,0,0,0,0
440,000440.jpg,train2017,2,69118.0,dent,1,1,0,0,0,0
441,000441.jpg,train2017,2,53177.0,dent,1,1,0,0,0,0
442,000442.jpg,train2017,2,101941.0,dent,1,0,0,0,0,0
443,000443.jpg,train2017,3,70862.0,dent,1,0,1,0,0,0
444,000444.jpg,train2017,5,93504.0,lamp broken,1,1,0,0,1,0
446,000446.jpg,train2017,2,81912.0,dent,1,0,0,0,0,0
447,000447.jpg,train2017,3,323032.0,dent,1,1,0,0,0,0
448,000448.jpg,train2017,5,89677.0,scratch,0,1,0,0,0,0
449,000449.jpg,train2017,1,59818.0,scratch,0,1,0,0,0,0
450,000450.jpg,train2017,1,8139.0,scratch,0,1,0,0,0,0
451,000451.jpg,train2017,1,50521.0,scratch,0,1,0,0,0,0
453,000453.jpg,train2017,2,94887.0,scratch,0,1,0,0,0,0
455,000455.jpg,train2017,2,267238.0,scratch,0,1,0,0,0,0
456,000456.jpg,train2017,4,178286.0,dent,1,1,0,0,0,0
457,000457.jpg,train2017,1,56067.0,dent,1,0,0,0,0,0
458,000458.jpg,train2017,3,79731.0,scratch,1,1,1,0,0,0
459,000459.jpg,train2017,1,113145.0,dent,1,0,0,0,0,0
460,000460.jpg,train2017,5,232557.0,lamp broken,1,0,1,0,1,0
461,000461.jpg,train2017,5,43942.0,lamp broken,1,0,1,0,1,0
462,000462.jpg,train2017,3,348789.0,glass shatter,1,0,0,1,0,0
463,000463.jpg,train2017,1,245983.0,tire flat,0,0,0,0,0,1
464,000464.jpg,train2017,1,152739.0,glass shatter,0,0,0,1,0,0
465,000465.jpg,train2017,1,106385.0,glass shatter,0,0,0,1,0,0
467,000467.jpg,train2017,6,115694.0,lamp broken,1,1,0,0,1,0
471,000471.jpg,train2017,1,619482.0,glass shatter,0,0,0,1,0,0
472,000472.jpg,train2017,1,551478.0,glass shatter,0,0,0,1,0,0
473,000473.jpg,train2017,1,155546.0,glass shatter,0,0,0,1,0,0
474,000474.jpg,train2017,1,296484.0,glass shatter,0,0,0,1,0,0
476,000476.jpg,train2017,1,49693.0,scratch,0,1,0,0,0,0
477,000477.jpg,train2017,1,18061.0,scratch,0,1,0,0,0,0
478,000478.jpg,train2017,1,202578.0,scratch,0,1,0,0,0,0
479,000479.jpg,train2017,1,80061.0,scratch,0,1,0,0,0,0
480,000480.jpg,train2017,3,242240.0,dent,1,1,0,0,0,0
484,000484.jpg,train2017,2,86300.0,lamp broken,1,0,0,0,1,0
485,000485.jpg,train2017,8,148702.0,scratch,1,1,1,0,1,0
486,000486.jpg,train2017,3,181631.0,scratch,1,1,0,0,0,0
487,000487.jpg,train2017,2,355849.0,scratch,0,1,0,0,0,0
489,000489.jpg,train2017,1,92337.0,dent,1,0,0,0,0,0
490,000490.jpg,train2017,2,197442.0,dent,1,0,0,0,1,0
494,000494.jpg,train2017,5,427819.0,lamp broken,1,1,1,0,1,0
496,000496.jpg,train2017,1,126350.0,dent,1,0,0,0,0,0
498,000498.jpg,train2017,2,49962.0,dent,1,0,0,0,0,0
499,000499.jpg,train2017,1,173650.0,dent,1,0,0,0,0,0
500,000500.jpg,train2017,2,404658.0,dent,1,0,0,0,1,0
501,000501.jpg,train2017,3,131195.0,dent,1,1,0,0,1,0
502,000502.jpg,train2017,5,141299.0,lamp broken,1,1,1,0,1,0
503,000503.jpg,train2017,4,213600.0,lamp broken,1,1,0,0,1,0
504,000504.jpg,train2017,1,108656.0,scratch,0,1,0,0,0,0
505,000505.jpg,train2017,4,308836.0,lamp broken,1,1,1,0,1,0
506,000506.jpg,train2017,4,390197.0,scratch,1,1,1,0,1,0
507,000507.jpg,train2017,2,68361.0,scratch,0,1,0,0,0,0
508,000508.jpg,train2017,3,94915.0,dent,1,0,0,0,0,0
509,000509.jpg,train2017,2,4160.0,crack,0,0,1,0,0,0
510,000510.jpg,train2017,1,3248.0,crack,0,0,1,0,0,0
511,000511.jpg,train2017,2,18225.0,dent,1,1,0,0,0,0
512,000512.jpg,train2017,6,75750.0,glass shatter,0,1,0,1,0,0
518,000518.jpg,train2017,4,133974.0,dent,1,1,0,0,0,0
519,000519.jpg,train2017,4,198897.0,dent,1,0,1,0,0,0
522,000522.jpg,train2017,5,59681.0,lamp broken,1,1,1,0,1,0
523,000523.jpg,train2017,2,86147.0,scratch,0,1,0,0,0,0
525,000525.jpg,train2017,4,37753.0,scratch,0,1,0,0,0,0
526,000526.jpg,train2017,2,467669.0,glass shatter,1,0,0,1,0,0
527,000527.jpg,train2017,5,75686.0,lamp broken,1,1,0,0,1,0
528,000528.jpg,train2017,1,8804.0,lamp broken,0,0,0,0,1,0
529,000529.jpg,train2017,2,20993.0,lamp broken,1,0,0,0,1,0
530,000530.jpg,train2017,2,47977.0,scratch,1,1,0,0,0,0
533,000533.jpg,train2017,1,39958.0,scratch,0,1,0,0,0,0
534,000534.jpg,train2017,1,113297.0,scratch,0,1,0,0,0,0
535,000535.jpg,train2017,2,138159.0,lamp broken,0,1,0,0,1,0
536,000536.jpg,train2017,6,143021.0,dent,1,1,1,0,0,0
539,000539.jpg,train2017,3,113972.0,dent,1,0,0,0,1,0
540,000540.jpg,train2017,3,51590.0,lamp broken,1,0,0,0,1,0
543,000543.jpg,train2017,1,156722.0,glass shatter,0,0,0,1,0,0
